"service_state";"service_icons";"host_ipv4_address";"host";"service_description";"sitealias";"svc_plugin_output"
"CRIT";"NOT_CSV_EXPORTABLE";"10.91.144.11";"ldn2ws0059";"Check_MK";"EMEA Prod ARK (LDN2)";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), Missing monitoring data for all pluginsWARN, execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.91.144.38";"ldn2ws9768";"Check_MK";"EMEA Prod ARK (LDN2)";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.91.148.12";"ldn2ws9725";"Check_MK";"EMEA NonProd ARK (LDN2)";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.72.96";"njc2ws022n04.corp.ad.tullib.com";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.72.97";"njc2ws022n03.corp.ad.tullib.com";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.72.254";"njc2ws3812.corp.ad.tullib.com";"Check_MK";"AMER Prod NJC2";"[agent] Fetcher for host ""njc2ws3812.corp.ad.tullib.com"" timed out after 60 secondsCRIT, [piggyback] Fetcher for host ""njc2ws3812.corp.ad.tullib.com"" timed out after 60 secondsCRIT, Missing monitoring data for all pluginsWARN, execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.73.241";"njc2ws032n02.corp.ad.tullib.com";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.80.44";"njcpsmoweb01";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.80.45";"njcpsmoweb03";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.80.148";"njc2ws0021n02.corp.ad.tullib.com";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.128.23";"njc2ws3843";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.136.46";"njc2ws4664.corp.ad.tullib.com";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.150.38";"njc2ws5696";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.150.39";"njc2ws1693";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.150.40";"njc2ws7380";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.150.41";"njc2ws7073";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.150.42";"njc2ws0626";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.150.43";"njc2ws3770";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.150.44";"njc2ws7353";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.150.45";"njc2ws2093";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.150.46";"njc2ws2795";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.150.47";"njc2ws0773";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.150.48";"njc2ws5311";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.150.49";"njc2ws4910";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.150.50";"njc2ws1803";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.150.51";"njc2ws4155";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.150.52";"njc2ws4559";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.150.53";"njc2ws3979";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.150.54";"njc2ws2133";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.150.55";"njc2ws6595";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.150.56";"njc2ws0577";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.150.57";"njc2ws3537";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.150.58";"njc2ws0811";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.150.59";"njc2ws4056";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.150.60";"njc2ws1827";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.160.150.61";"njc2ws6726";"Check_MK";"AMER Prod NJC2";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
