service_state,service_icons,host,svc_plugin_output,perfometer
CRIT,NOT_CSV_EXPORTABLE,rio1ws4825.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,rio1ws5610.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,rio1ws5734.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,rio1ws6088.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,rio1ws6098.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,rio1ws7526.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,rio2ws040n02.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,rio2ws041n02.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,sao1ws040n01.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,sao1ws041n01.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,njc2ws020n02.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,njc2ws0929.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,njc2ws1571.lnholdings.com,service not found,
PEND,NOT_CSV_EXPORTABLE,njc2ws3812.corp.ad.tullib.com,,
CRIT,NOT_CSV_EXPORTABLE,njc2ws6325.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,njc2ws7726.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,njc2ws7863.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,sg1spbsgdfwd02.corp.ad.tullib.com,CrowdStrike Falcon Sensor Service: stopped (start type is auto),
CRIT,NOT_CSV_EXPORTABLE,sltprbripsi01.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,sltprbripsi02.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,sltprbripsi03.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,sltprbripsi04.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,sltprbripsi05.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,sltprbripsi06.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,sltprbrvoip01.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,sltprbrvoip02.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,sng1ws0011.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,SNG1WS1442.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,sng1ws4661.corp.ad.tullib.com,service not found,
